,LGA_CODE21,LGA_NAME21,AREASQKM21,LATITUDE,LONGITUDE
0,10050,Albury,305.6386,-36.02653880441892,146.9705259144983
1,10180,Armidale Regional,7809.4406,-30.367382623584515,151.8991113259668
2,10250,Ballina,484.9692,-28.85287486006754,153.48615711247285
3,10300,Balranald,21690.7493,-33.95033966688613,143.61162395830203
4,10470,Bathurst Regional,3817.8645,-33.430126013645044,149.52563941178136
5,10500,Bayside (NSW),50.6204,-33.949515669894126,151.16712041451075
6,10550,Bega Valley,6278.5013,-36.82590196120465,149.7175933505947
7,10600,Bellingen,1600.4338,-30.403789777434696,152.72859634540401
8,10650,Berrigan,2065.8878,-35.734312626617545,145.71118028015695
9,10750,Blacktown,238.8471,-33.74093136152887,150.86409340585945
10,10800,Bland,8557.6536,-33.894330760361626,146.9612732780158
11,10850,Blayney,1524.647,-33.59431751235993,149.14206456412654
12,10900,Blue Mountains,1431.1442,-33.697531609858366,150.41114678475608
13,10950,Bogan,14599.8996,-31.538115990331672,146.86687907141285
14,11150,Bourke,41598.3722,-29.91058062123279,145.35681292906236
15,11200,Brewarrina,19162.0296,-29.791589585301285,146.96088373616126
16,11250,Broken Hill,170.1153,-31.944022303388085,141.4792749366148
17,11300,Burwood,7.1282,-33.88367352965525,151.10315744934755
18,11350,Byron,565.8027,-28.604154097757544,153.48251108665036
19,11400,Cabonne,6022.3496,-33.15298480856995,148.754106870388
20,11450,Camden,201.5278,-34.00883082672776,150.72419936021015
21,11500,Campbelltown (NSW),311.4117,-34.08341200657833,150.84586321998893
22,11520,Canada Bay,19.9239,-33.853485275033414,151.11483084730395
23,11570,Canterbury-Bankstown,110.2374,-33.92349501679087,151.0373257280851
24,11600,Carrathool,18934.4853,-33.608979657096945,145.49643135896565
25,11650,Central Coast (NSW),1681.0059,-33.30797388065274,151.28548829662802
26,11700,Central Darling,53492.193,-31.85068475884347,143.58969838225312
27,11720,Cessnock,1965.1593,-32.925055455013535,151.22490546813526
28,11730,Clarence Valley,10428.6804,-29.681725515694385,152.75115777706608
29,11750,Cobar,45575.3512,-31.867968183772376,145.4828567694743
30,11800,Coffs Harbour,1173.7435,-30.189026103639147,153.0398402465171
31,12000,Coolamon,2430.9037,-34.632518519038825,147.10483883357782
32,12150,Coonamble,9916.0535,-30.87053564848261,148.29161324862213
33,12160,Cootamundra-Gundagai Regional,3981.4172,-34.852962186072396,148.09412534231163
34,12350,Cowra,2808.7821,-33.79637040261511,148.71795613117516
35,12380,Cumberland,72.7496,-33.84213682892982,150.98646528562347
36,12390,Dubbo Regional,7534.5251,-32.424703748807346,148.85441677724688
37,12700,Dungog,2249.9983,-32.34954786293114,151.60829288441542
38,12730,Edward River,8883.4463,-35.172531265143796,144.94147813512998
39,12750,Eurobodalla,3428.1695,-35.9451437236788,149.9470547337783
40,12850,Fairfield,101.5072,-33.865621699769164,150.89542221807775
41,12870,Federation,5684.9253,-35.49704283878335,146.27137211641215
42,12900,Forbes,4710.128,-33.421618711981914,147.86720794143736
43,12930,Georges River,38.3375,-33.97101883503972,151.08636364868647
44,12950,Gilgandra,4831.5057,-31.61901370114243,148.69074002718668
45,13010,Glen Innes Severn,5479.977,-29.644973753301205,151.9030483379773
46,13310,Goulburn Mulwaree,3220.0796,-34.87602675695074,149.81349691781995
47,13340,Greater Hume Shire,5749.3875,-35.75025981487827,147.17183504031757
48,13450,Griffith,1639.1732,-34.30039735470649,146.0035940377669
49,13550,Gunnedah,4987.0295,-31.046532884518708,150.1888955933682
50,13660,Gwydir,9259.6544,-29.593468272674194,150.5168155241053
51,13800,Hawkesbury,2775.1378,-33.33476611712355,150.7732475466966
52,13850,Hay,11325.9324,-34.31584890036199,144.6837063255643
53,13910,Hilltops,7140.8865,-34.35199699107697,148.50096323475128
54,14000,Hornsby,455.0374,-33.58391774521445,151.08941968499965
55,14100,Hunters Hill,5.7169,-33.833339147830976,151.14513441487438
56,14170,Inner West,35.2115,-33.891321934281905,151.1549153515687
57,14220,Inverell,9404.7564,-29.41883717233053,151.0751813571602
58,14300,Junee,2030.0222,-34.81719376300848,147.66888249166522
59,14350,Kempsey,3375.6704,-30.95153403037532,152.6447387480195
60,14400,Kiama,257.6638,-34.67885793240436,150.75622964353823
61,14500,Ku-ring-gai,85.4093,-33.73459751443234,151.15091372268304
62,14550,Kyogle,3584.1829,-28.617781140851413,152.77558182656412
63,14600,Lachlan,14968.2539,-32.92009535417166,146.98971404194174
64,14650,Lake Macquarie,648.6393,-33.038844438998915,151.53018756077742
65,14700,Lane Cove,10.4789,-33.81998082406331,151.166900763523
66,14750,Leeton,1167.1876,-34.53235693091234,146.30208843364784
67,14850,Lismore,1287.7042,-28.75616217951886,153.27066135655815
68,14870,Lithgow,4512.2561,-33.2776619646693,150.1789617311309
69,14900,Liverpool,305.7401,-33.93595833558214,150.82521251843556
70,14920,Liverpool Plains,5082.2398,-31.55060702437997,150.4384220192372
71,14950,Lockhart,2895.8049,-35.33125992992933,146.77544395478515
72,15050,Maitland,391.5089,-32.710801082213706,151.5497612147828
73,15240,Mid-Coast,10053.8633,-32.015303179847095,152.0957633528542
74,15270,Mid-Western Regional,8752.2589,-32.593797742149654,149.7424263329392
75,15300,Moree Plains,17902.7033,-29.25301140244424,149.62885600755303
76,15350,Mosman,8.6503,-33.829069021969566,151.24464055453282
77,15520,Murray River,11863.0162,-35.32469775880873,144.21164743636035
78,15560,Murrumbidgee,6880.7902,-34.949721323743105,145.7293707391761
79,15650,Muswellbrook,3404.8841,-32.4399116581651,150.63030150975345
80,15700,Nambucca Valley,1491.3431,-30.687544092544243,152.76894355581297
81,15750,Narrabri,13014.9937,-30.35647853388599,149.56489007620755
82,15800,Narrandera,4116.3458,-34.61124649311803,146.5796881996682
83,15850,Narromine,5261.5165,-32.22607614987848,148.0655610624565
84,15900,Newcastle,186.7255,-32.880044217077874,151.6956984178856
85,15950,North Sydney,10.491,-33.832944064709416,151.21186883807397
86,15990,Northern Beaches,254.2072,-33.69022403970135,151.2496757835285
87,16100,Oberon,3625.047,-33.883278601233464,149.8114064125972
88,16150,Orange,284.2159,-33.32464865126684,149.12037951543817
89,16200,Parkes,5957.6137,-32.88099839901493,147.9614288066049
90,16260,Parramatta,83.8303,-33.79933045022632,151.029312634136
91,16350,Penrith,404.7021,-33.76535956475546,150.71807605332248
92,16380,Port Macquarie-Hastings,3682.3915,-31.40974789964874,152.53121651101233
93,16400,Port Stephens,858.4357,-32.72178252627042,151.84472761752184
94,16490,Queanbeyan-Palerang Regional,5319.0075,-35.42274179942496,149.62717658590793
95,16550,Randwick,36.331,-33.94322625076733,151.2402149417446
96,16610,Richmond Valley,3047.3748,-29.05961478763073,153.04628738411833
97,16700,Ryde,40.4746,-33.7991260867271,151.11056779315552
98,16900,Shellharbour,147.4208,-34.58267962131471,150.77387386639867
99,16950,Shoalhaven,4567.2011,-35.0944139665499,150.3733166930861
100,17000,Singleton,4892.7168,-32.660365769716826,150.9645386656682
101,17040,Snowy Monaro Regional,15164.7904,-36.39646234881955,148.95887383544405
102,17080,Snowy Valleys,8958.9215,-35.733772047454366,148.24920421388737
103,17100,Strathfield,14.0008,-33.88041304649226,151.07644258204192
104,17150,Sutherland Shire,333.5806,-34.075127591475336,151.05101573476836
105,17200,Sydney,26.6762,-33.889442389936754,151.2027614840332
106,17310,Tamworth Regional,9884.3505,-30.89250423178542,150.90706394597694
107,17350,Temora,2802.0159,-34.387926588976285,147.48366224619824
108,17400,Tenterfield,7324.3072,-28.943810604934864,152.08639569287996
109,17420,The Hills Shire,386.1583,-33.588247834742425,150.96203959079307
110,17550,Tweed,1307.7853,-28.359970611373825,153.3562969942305
111,17620,Upper Hunter Shire,8096.0889,-31.969242530088152,150.72652708950574
112,17640,Upper Lachlan Shire,7127.3957,-34.41770949129079,149.45567514121305
113,17650,Uralla,3226.5327,-30.50766289639287,151.3123350222083
114,17750,Wagga Wagga,4824.4888,-35.19660367964852,147.36635675648552
115,17850,Walcha,6261.0243,-31.163889344236164,151.78453438527623
116,17900,Walgett,22308.2528,-29.816664884909788,148.194459455033
117,17950,Warren,10753.7672,-31.325639817706236,147.6798502071593
118,18020,Warrumbungle Shire,12372.12,-31.462793948432914,149.40539851017576
119,18050,Waverley,9.3506,-33.890038273092365,151.26685147311323
120,18100,Weddin,3414.8566,-33.87190035957245,148.01124919954114
121,18200,Wentworth,26255.9338,-33.57019715184354,142.2428975114602
122,18250,Willoughby,22.4257,-33.801085715106645,151.19637598553714
123,18350,Wingecarribee,2689.3415,-34.47692413686195,150.35626456292383
124,18400,Wollondilly,2555.4341,-34.10192822144222,150.44380064347186
125,18450,Wollongong,684.3076,-34.36883816924149,150.83714578479893
126,18500,Woollahra,12.2584,-33.87168279237287,151.25739737765593
127,18710,Yass Valley,3995.017,-34.954167553575985,148.88499400840752
128,19399,Unincorporated NSW,93208.9194,-30.65452347849223,142.21579407928073
129,19499,No usual address (NSW),0.0,0.0,0.0
130,19799,Migratory - Offshore - Shipping (NSW),0.0,0.0,0.0
131,20110,Alpine,4788.157,-36.853555839557345,146.97417730807172
132,20260,Ararat,4211.1172,-37.472695765387066,142.8431972695711
133,20570,Ballarat,739.0321,-37.49284031560874,143.78147682479025
134,20660,Banyule,62.5402,-37.7304278195291,145.0851467940733
135,20740,Bass Coast,865.8094,-38.507275500023276,145.5580614109048
136,20830,Baw Baw,4027.6287,-37.98398604639274,146.13150842041037
137,20910,Bayside (Vic.),37.2111,-37.941825905441554,145.0181598603199
138,21010,Benalla,2352.6398,-36.58698987048147,146.0237674772728
139,21110,Boroondara,60.1776,-37.81927311411663,145.0630950452066
140,21180,Brimbank,123.3991,-37.747539768796294,144.80331666945415
141,21270,Buloke,7998.247,-35.9124379812523,143.00485054300543
142,21370,Campaspe,4519.073,-36.34516564481898,144.71641877438174
143,21450,Cardinia,1282.5671,-38.08300066943651,145.57269112292934
144,21610,Casey,409.4287,-38.104337028327606,145.30901679316483
145,21670,Central Goldfields,1532.7843,-37.007149210351315,143.71384688398805
146,21750,Colac Otway,3437.47,-38.451947663723516,143.59518787847986
147,21830,Corangamite,4407.492,-38.20431003533518,143.19865740551398
148,21890,Darebin,53.4712,-37.73344545296745,145.01433908040192
149,22110,East Gippsland,20939.5016,-37.37802550425775,148.29169479753824
150,22170,Frankston,129.5981,-38.134595049557674,145.1738046758298
151,22250,Gannawarra,3737.5979,-35.751520381848245,143.80397696706655
152,22310,Glen Eira,38.6908,-37.901192668928346,145.04260846342464
153,22410,Glenelg,6218.7884,-37.87048376873872,141.38572038145415
154,22490,Golden Plains,2703.3899,-37.882051982013074,143.84251718051175
155,22620,Greater Bendigo,2999.9717,-36.73442797624123,144.42265202449542
156,22670,Greater Dandenong,129.5466,-38.00557618600499,145.19001498693441
157,22750,Greater Geelong,1247.9872,-38.068945467103084,144.41716837980718
158,22830,Greater Shepparton,2421.9092,-36.39698139729883,145.38620514866415
159,22910,Hepburn,1472.9843,-37.31692382770933,144.05756664378748
160,22980,Hindmarsh,7524.1823,-36.05150462138313,141.75256079770003
161,23110,Hobsons Bay,64.2405,-37.854707451306034,144.82976362611038
162,23190,Horsham,4266.769,-36.82573189071048,142.0904566277035
163,23270,Hume,503.8488,-37.58916906334317,144.82454025674912
164,23350,Indigo,2040.471,-36.22550505767535,146.7229555808545
165,23430,Kingston (Vic.),91.3676,-37.988570381209975,145.10507817251985
166,23670,Knox,113.9114,-37.88896910923942,145.25867555598305
167,23810,Latrobe (Vic.),1425.613,-38.274551492972826,146.43814071994802
168,23940,Loddon,6696.4447,-36.363892116579045,143.86714855686387
169,24130,Macedon Ranges,1748.284,-37.33565453572085,144.61661964585284
170,24210,Manningham,113.3479,-37.76157719885159,145.18856671982763
171,24250,Mansfield,3843.8535,-37.20041398319294,146.2068415288026
172,24330,Maribyrnong,31.2258,-37.795254242748335,144.87777823910906
173,24410,Maroondah,61.4097,-37.80485917462079,145.26526733049667
174,24600,Melbourne,37.5452,-37.81064089432689,144.94377212096697
175,24650,Melton,527.5374,-37.692992444920726,144.62598782066712
176,24780,Mildura,22081.9206,-34.8692177753551,141.68288322027712
177,24850,Mitchell,2862.0837,-37.13751729079375,145.00161116282268
178,24900,Moira,4045.9201,-36.061892720753676,145.55035923637624
179,24970,Monash,81.4829,-37.89712832195203,145.144039360757
180,25060,Moonee Valley,43.1384,-37.74948675687318,144.89576762235933
181,25150,Moorabool,2110.5504,-37.63276192180822,144.21565645393525
182,25250,Moreland,50.9522,-37.72990539369868,144.94889394371697
183,25340,Mornington Peninsula,723.992,-38.34167720053058,145.03529507454172
184,25430,Mount Alexander,1529.6183,-37.050777025468484,144.1929428452309
185,25490,Moyne,5481.686,-38.12244096804266,142.49004200831953
186,25620,Murrindindi,3879.7505,-37.31096792010989,145.63011122589467
187,25710,Nillumbik,432.3373,-37.62290148353157,145.23681025554038
188,25810,Northern Grampians,5729.8765,-36.844615698748115,142.91964937738874
189,25900,Port Phillip,20.6141,-37.851895688858626,144.96602818911785
190,25990,Pyrenees,3434.5687,-37.31644466813963,143.3750473449153
191,26080,Queenscliffe,8.6166,-38.26426711616422,144.6477213405367
192,26170,South Gippsland,3296.3307,-38.62136402315842,146.07599753103213
193,26260,Southern Grampians,6654.0186,-37.53651999315194,142.03310044731379
194,26350,Stonnington,25.651,-37.857941671732945,145.033662825705
195,26430,Strathbogie,3303.2568,-36.76031830915428,145.4349234778788
196,26490,Surf Coast,1552.944,-38.31228857230335,144.05312809600287
197,26610,Swan Hill,6115.5373,-35.12019035424135,143.1254814449288
198,26670,Towong,6675.1725,-36.354421292131285,147.59885849022834
199,26700,Wangaratta,3645.1096,-36.58825585081767,146.42839128789257
200,26730,Warrnambool,120.9487,-38.37143053697708,142.51182018882716
201,26810,Wellington,10817.4231,-37.89433871830871,146.91935880624496
202,26890,West Wimmera,9108.6794,-36.67556247928258,141.2793538022718
203,26980,Whitehorse,64.2801,-37.83023535905878,145.15506581632744
204,27070,Whittlesea,489.6938,-37.54719933184962,145.07769860319686
205,27170,Wodonga,433.0021,-36.15049053298884,146.88261581623775
206,27260,Wyndham,542.0943,-37.886633815355964,144.6182583721413
207,27350,Yarra,19.5421,-37.80226765943099,144.99855448623887
208,27450,Yarra Ranges,2468.2052,-37.714263256078446,145.69704243245013
209,27630,Yarriambiack,7325.797,-35.99005082070426,142.41901577281598
210,29399,Unincorporated Vic,283.1903,-37.89936603640546,145.89236879598576
211,29499,No usual address (Vic.),0.0,0.0,0.0
212,29799,Migratory - Offshore - Shipping (Vic.),0.0,0.0,0.0
213,30250,Aurukun,7423.9891,-13.609363408495257,141.82845473190068
214,30300,Balonne,31104.0851,-28.315906322362547,148.11615269172344
215,30370,Banana,28550.1626,-24.93515404348315,149.93871015419788
216,30410,Barcaldine,53382.654,-23.113673818830332,145.69342808346588
217,30450,Barcoo,61830.1679,-25.13105769417565,142.2674676343853
218,30760,Blackall Tambo,30537.248,-24.78561714410623,145.7912629203949
219,30900,Boulia,60906.4695,-22.480432532176206,139.2464472036322
220,31000,Brisbane,1342.7173,-27.437828441903026,153.0390093293546
221,31750,Bulloo,73722.0101,-28.021280379586063,142.59485907033488
222,31820,Bundaberg,6431.0889,-24.9678031381682,152.03577330079733
223,31900,Burdekin,5043.9318,-19.82356963935566,147.24311277677225
224,31950,Burke,39681.2234,-18.03136328705137,138.94775986634914
225,32080,Cairns,1689.3227,-17.160145527013643,145.81900858743003
226,32250,Carpentaria,64121.0123,-17.444383585928875,141.36475387536512
227,32260,Cassowary Coast,4687.824,-17.959538148347725,145.9259799798393
228,32270,Central Highlands (Qld),59834.8359,-24.031443958733423,148.41581888300965
229,32310,Charters Towers,68382.1644,-20.148849428487594,145.7882103755524
230,32330,Cherbourg,31.6002,-26.288795873847462,151.93599932367368
231,32450,Cloncurry,47971.2595,-20.817690902822317,140.26477045025447
232,32500,Cook,105717.7521,-14.23595570937671,143.25967054853427
233,32600,Croydon,29497.9025,-18.554086113188134,142.21680897371297
234,32750,Diamantina,94722.429,-24.630248432092824,139.73198957258978
235,32770,Doomadgee,1827.6518,-17.59651504705211,138.78096134697137
236,32810,Douglas,2427.8626,-16.22202752034613,145.28670457310125
237,33100,Etheridge,39199.2956,-18.50460758583595,143.66041285056002
238,33200,Flinders (Qld),41199.9375,-20.973866909980032,144.32173490234823
239,33220,Fraser Coast,7104.5984,-25.527889195092108,152.6767377724513
240,33360,Gladstone,10484.2861,-24.17631045147915,151.30703742528598
241,33430,Gold Coast,1333.386,-27.980488664622314,153.31847696281974
242,33610,Goondiwindi,19265.7098,-28.37367139066373,150.33989992973838
243,33620,Gympie,6883.9781,-26.147024863619674,152.46364141299543
244,33800,Hinchinbrook,2807.1889,-18.661881738460742,146.04761638815336
245,33830,Hope Vale,1111.7099,-15.167737075697906,145.19157429921526
246,33960,Ipswich,1093.8562,-27.66560288714105,152.6674686694407
247,33980,Isaac,58707.9192,-22.238088523833063,147.89185876662012
248,34420,Kowanyama,2555.3325,-15.319514330315553,141.81057160037568
249,34530,Livingstone,11757.8686,-22.79597139490119,150.19348123472685
250,34570,Lockhart River,3576.6839,-13.005328153311712,143.24029949711
251,34580,Lockyer Valley,2269.0054,-27.642717232316354,152.2405582620599
252,34590,Logan,958.1333,-27.762383534312317,153.04021302345805
253,34710,Longreach,40572.2442,-23.718120577200107,143.95932639038926
254,34770,Mackay,7613.2963,-21.139078868539045,148.80425007944743
255,34800,McKinlay,40736.7989,-20.533984091534183,141.58697204807027
256,34830,Mapoon,537.2366,-12.14170326856245,141.9198069417827
257,34860,Maranoa,58719.3449,-26.54427082166779,148.2876988765731
258,34880,Mareeba,53491.0502,-16.984723769639942,143.95517928863168
259,35010,Moreton Bay,2041.4737,-27.11798048655317,152.8831261925374
260,35250,Mornington,1247.6932,-16.63181963024153,139.40132008140895
261,35300,Mount Isa,43715.1975,-19.953894352892263,138.7822312942447
262,35600,Murweh,40699.7586,-26.189666431075853,146.48948305456608
263,35670,Napranum,2004.3468,-12.515754393261304,142.11244800226805
264,35740,Noosa,869.8657,-26.32484164190283,152.94558215385172
265,35760,North Burnett,19669.8489,-25.355270827783794,151.2041732774365
266,35780,Northern Peninsula Area,1052.0676,-11.004902654834275,142.3128984833484
267,35790,Palm Island,71.9928,-18.731347742479805,146.60025989920732
268,35800,Paroo,47614.9225,-28.072954410450762,145.77131795818468
269,36070,Pormpuraaw,4395.3654,-14.719393148935437,141.8074055990249
270,36150,Quilpie,67414.6563,-26.34881660829753,143.89344555145578
271,36250,Redland,537.1672,-27.56858596832113,153.36084893105382
272,36300,Richmond,26580.748,-20.54064203541295,142.90106454608713
273,36370,Rockhampton,6570.2667,-23.44113073484028,150.21842743371585
274,36510,Scenic Rim,4243.0014,-28.062327030761228,152.796212828746
275,36580,Somerset,5373.4335,-27.008923983246444,152.42521947307324
276,36630,South Burnett,8381.558,-26.405208146121026,151.6469318903338
277,36660,Southern Downs,7106.436,-28.405432283265224,151.88579938305125
278,36720,Sunshine Coast,2253.8522,-26.696168843330373,152.89835804912084
279,36820,Tablelands,11292.8695,-17.93077945753783,145.3305417509345
280,36910,Toowoomba,12957.2103,-27.58197961048954,151.53389912440804
281,36950,Torres,883.7402,-10.73114804347378,142.4122843999592
